Job_Id,Job Title,Job Description,salary
1,Senior Data Scientist,"ABOUT HOPPER

At Hopper, weâ€™re on a mission to make booking travel faster, easier, and more transparent. We are leveraging the power that comes from combining massive amounts of data and machine learning to build the worldâ€™s fastest-growing travel app -- one that enables our customers to save money and travel more. With over $235M CAD in funding from leading investors in both Canada and the US, Hopper is primed to continue its path toward becoming the go-to way to book travel as the world continues its shift to mobile.

Recognized as the fastest-growing travel app by Forbes and one of the worldâ€™s most innovative companies by Fast Company two years in a row, Hopper has been downloaded over 40 million times and has helped travelers plan over 100 million trips and counting. The app has received high praise in the form of mobile accolades such as the Webby Award for Best Travel App of 2019, the Google Play Award for Standout Startup of 2016 and Appleâ€™s App Store Best of 2015.

Take off with us!

THE ROLE

Hopper is looking for a data-savvy individual to join our team as a Data Scientist and lead data-centric product development and complex business intelligence projects within our core air travel business unit. Every day you would draw powerful insights from our real-time feed of billions of flight search results and archives of several trillion data points. To succeed at Hopper you need the talent, passion, and experience to thrive in a highly performing company.
IN THIS ROLE YOU WILL:
Frame and conduct complex exploratory analyses needed to deepen our understanding of Hopper users.
Partner with product, business and strategy teams to leverage this user understanding for product improvements and other initiatives
Use machine learning and big data tools on tremendously large and complex data sets to enhance our data-driven, personalized travel advice
Conduct research into various aspects of our business and employ statistical and modeling techniques when appropriate to make recommendations to non-technical stakeholders
Create advanced dashboards for product experiment tracking and business unit performance analysis using Amplitude and Tableau
Find effective ways to simplify and communicate analyses to a non-technical audience.
A PERFECT CANDIDATE HAS:
A degree in Math, Statistics, Computer Science, Engineering or other quantitative disciplines
Extremely strong analytical and problem-solving skills
Proven ability to communicate complex technical work to a non-technical audience
A strong passion for and extensive experience in conducting empirical research and answering hard questions with data
Experience with a data visualization tool (Tableau preferred) and project analysis tool such as Amplitude
Experience with relational databases and SQL, especially Hive
Experience working with extremely large data sets
Experience in Pandas, R, SAS or other tools appropriate for large scale data preparation and analysis
Experience with data mining, machine learning, statistical modeling tools and underlying algorithms
Proficiency with Unix/Linux environments
BENEFITS

â€¢ Well-funded and proven startup with large ambitions, competitive salary and stock options
â€¢ Dynamic and entrepreneurial team where pushing limits is everyday business
â€¢ 100% employer paid medical, dental, vision, disability and life insurance plans
â€¢ Access to a 401k (US) or Retirement Savings Plan (Canada)",146
2,"Data Scientist, Product Analytics","At Noom, we use scientifically proven methods to help our users create healthier lifestyles, and manage important conditions like Type-II Diabetes, Obesity, and Hypertension. Our Engineering team is at the forefront of this challenge, solving complex technical and UX problems on our mobile apps that center around habits, behavior, and lifestyle.

We are looking for a Data Scientist to join our Data team and help us ensure that we apply the best approaches to data analysis and research, artificial intelligence, and machine learning.

What You'll Like About Us:
We work on problems that affect the lives of real people. Our users depend on us to make positive changes to their health and their lives.
We base our work on scientifically-proven, peer-reviewed methodologies that are designed by medical professionals.
We are a data-driven company through and through.
We're a respectful, diverse, and dynamic environment in which Engineering is a first-class citizen, and where you'll be able to work on a variety of interesting problems that affect the lives of real people.
We offer a generous budget for personal development expenses like training courses, conferences, and books.
You'll get three weeks' paid vacation and a flexible work policy that is remote- and family-friendly (about 50% of our engineering team is fully remote). We worry about results, not time spent in seats.
What We'll Like About You:
You have 4+ years of experience as a Data Scientist or Data Analyst in a similarly-sized organization, with a proven record of analysis and research that positively impacts your team.
You possess excellent communication skills and the ability to clearly communicate technical concepts to a non-technical audience
You possess excellent SQL/relational algebra skills, ideally with at least a basic knowledge of how different types of databases (e.g.: column vs row storage) work.
You have a superior knowledge of statistical analysis methods, such as input selection, logistic and standard regression, etc.
You are comfortable writing Python code, and have good working knowledge of pandas and numpy. We don't expect you to write production-quality code, but you should have some programming experience.
You are comfortable with at least ""medium data"" technologies and how to transcend the ""memory bound"" nature of most analytics tools.",146
3,Data Science Manager,"Decode_M

https://www.decode-m.com/

Data Science Manager : Job Description

Weâ€™re hiring a Data Science Manager in our New York office to lead Decode_Mâ€™s Data Science team in developing new solutions for our clients and advancing the science of momentum through our proprietary product.

This position, based in New York City, requires an interest in managing Decode_Mâ€™s data science team, workflow and offerings. It demands excellent organizational skills, a natural curiosity, an eagerness to dive into the deep end, and a hunger to learn and grow while having a blast. Expect to learn a lot about cool companies, new products, and the latest in analytics, research and strategy.

About You
You have an advanced degree in data science, mathematics, or another highly quantitative field, and are comfortable understanding and utilizing recent academic research in your work.
You have 3+ years of relevant work experience using applied statistics and/or machine learning. Bonus points if youâ€™ve worked in a consulting, or other client-facing role before
You have 1+ years of management experience.
You are fluent in Python and R, as well as a robust numerical computing and data science stack in each language. Not only do you produce readable and well-documented code, but elevate your teamâ€™s work through thoughtful code review and mentorship
You are highly consultative, engaged, and detail-oriented. You see beyond the question you are asked to understand client objectives, and chart a course for long-term success in our relationships
You are an autodidact, who loves to figure out new solutions to problems by diving deep into StackOverflow, Arxiv.org, or your preferred destination.
You are curious, inquisitive, proactive, organized, and methodical. You like to use substantiated data to both identify and solve problems, rather than trust your gut alone


What You'll Do

Lead a team. Help to set the vision for the Data Science team and follow through on that vision. Be a mentor to a small, close-knit team of data scientists, helping them to develop professionally

Drive New Product Development: Decode_M has developed a proprietary algorithm to quantify the cultural momentum of brands, entities, people and movements. You will steward the development of the algorithm and be part of the product team to bring it to market with new customers

Manage Process. Work across teams and with Decode_Mâ€™s leadership to ensure that our work is top notch, deadlines are met, and projects are resourced appropriately. Foster an environment where the team is empowered to do its best work

Build Tools. Use data from social media, online reviews, mainstream media sites, search, web traffic, quantitative research, CRMs or other databases, etc. to uncover intelligence around growth opportunities and business challenges. Build software and/or repeatable processes to scale this work

Grow our Capabilities. Advance our expertise in applying statistics and machine learning to digital trends, CRM data, and quantitative research. Know the state of the field well enough to know when to reach for best-in-class tools and when to design your own solutions",146
4,Data Analyst,"Sapphire Digital seeks a dynamic and driven mid-level Data Analyst/QA to join our growing New Jersey team with experience in the healthcare domain. This role will perform in-depth analysis of our internal data management systems to identify, analyze, and interpret trends and/or patterns in order to provide actionable recommendations for data integrity. The Data Analyst/QA will work closely with multiple internal teams to collaborate on different stages of the data lifecycle and assist in developing data quality processes.
In this position, you'll be responsible for:
Preparing and conducting analyses and studies, needs assessment, and requirements analysis to align systems and solutions
Overseing data QA functions to ensure data integrity and accuracy
Monitoring all production data processes and validation systems
Performing data investigations, root cause analysis, data profiling, and data lineage activities
Performing research and provides recommendations for data processes and updates
Reviewing and analyzes specific data elements for accuracy and quality assurance
Driving the resolution of the identified data quality problems
Maintaining documentation as required
Partnering with BI in the development of reports and presentations
Maintaining data quality rules, data standards and data governance policies
Supporting special project work as assigned by the data managers
Collaborating effectively with cross functional teams including Data, Business Intelligence, Business Applications, and Engineering

You might be a good fit if you have:
Bachelor's degree (B. A. / B. S.) from four-year college or university; 4+ years related experience and/or training; or equivalent combination of education and experience
5+ years of experience as a data analyst or in a related field
Expertise with query languages (SQL) required
Experience working with large complex datasets including healthcare data such as medical claims, clinical information, demographic data and program activity results
Exposure with one or more of the following programming languages: SAS, Python, R
Prior experience working with Healthcare data, or in the Healthcare field preferred
Experience with data visualization tools and methodologies (Excel and PowerBI)
Demonstrated experience in analyzing large data sets and relational databases
Ability to manage time and priorities of multiple projects/tasks
Displays professionalism and ability to learn quickly
Extremely detail oriented
Strong oral and written communication skills
Ability to collaborate closely with multiple teams across with a wide range of technical backgrounds",146
5,"Director, Data Science","Director, Data Science - (200537)
Description
Edelman Intelligence is seeking a Director-level Data Scientist. The person in this role is will work to help drive our predictive analytics business by building out the Big Data / machine learning / AI capabilities of the Predictive Intelligence capabilities. This person will contribute significantly towards client deliverables, help develop new analytical approaches and offerings, and mentor more junior team members.

Responsibilities:

â€¢ Assist in the leadership of day to day project execution, including client deliverables, status updates, and project management
â€¢ Efficiently manage data from disparate sources, distilling into datasets prepared for data science
â€¢ Execute statistical models to support client projects
â€¢ Prepare client facing material (example: PowerPoint slides and charts), distilling analytical insights effectively into stories for clients
â€¢ Develop standardized code and processes that can be easily used by the larger team
â€¢ Support senior staff in the development of client proposals
â€¢ Mentor junior analytics team members and provide training on analytical offerings throughout the organization
Qualifications:
â€¢ Academic background in data science, including big data, machine learning, and AI
â€¢ Comfortable with prepping and visualizing data
â€¢ Experience in related programming languages, e.g. Python, Keras, Tensorflow, Pytorch, Scrapy, R, â€“ experience in more than one language is a preferred
â€¢ Excellent organizational and communication skills, coupled with the ability to adapt to new conditions, assignments and deadlines
â€¢ Knowledge of marketing, market research, and economics
About Us

Edelman is a global communications firm that partners with businesses and organizations to evolve, promote and protect their brands and reputations. Our 6,000 people in more than 60 offices deliver communications strategies that give our clients the confidence to lead and act with certainty, earning the trust of their stakeholders. Our honors include the Cannes Lions Grand Prix for PR; Advertising Ageâ€™s 2019 A-List; the Holmes Reportâ€™s 2018 Global Digital Agency of the Year; and, five times, Glassdoorâ€™s Best Places to Work. Since our founding in 1952, we have remained an independent, family-run business. Edelman owns specialty companies Edelman Intelligence (research) and United Entertainment Group (entertainment, sports, lifestyle).

Click here to view a short video about life at Edelman.

Edelman is an equal opportunity employer of all protected classes, including veterans and individuals with disabilities.
Job
: Research and Analytics
Primary Location
: United States-New York
Job Type
: Experienced
Schedule
: Full-time
Job Posting
: Jul 13, 2020, 11:30:21 AM",146
6,Data Scientist,"Job Brief

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Overview

IFG Companies is in search of a Data Scientist to join its growing Predictive Modeling team.

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Responsibilities
Build predictive and/or Machine Learning models in SAS
Research new statistical and mathematical techniques that are suitable and helpful for solving business related problems
Prepare data for modelling and make best/creative use of applicable and available internal or external data
Identifying and integrating new datasets that can be leveraged for modeling efforts
Support related processes around effectively deploying model to business
Effectively communicate results in written, oral and presentation formats to technical and non-technical audiences
Qualifications
Bachelorâ€™s degree in statistics, applied mathematics, or related discipline
3+ years of Data Modeling or similar experience.
Experience with predictive modeling (classification, regression, parameter tuning, optimization criteria, feature selection), preferably with multiple techniques
Experience in model validation techniques, model testing and continuous monitoring of model performance
Experience in Property & Casualty Insurance is strongly preferred.
Demonstrated experience working with large relational data sets.
Working knowledge in SAS, R, Python or another platform to develop and implement predictive models.
Ability and willingness to quickly gain knowledge of SAS enterprise guide and enterprise miner.
Ability to communicate complex technical information in common language to foster teaching and analytics guidance to internal customers.
Advanced experience in analytics, data cleaning, and predictive modeling.
Ability to write queries in SQL.
Detail-oriented and ability to work collaboratively
Physical Demands
Physical demands are considered to be that of an office environment, climate controlled, with minimal physical exertion. This position requires prolonged sitting, ability to utilize a computer and interactions with others in meetings or via phone.
Benefits
We offer a competitive compensation and benefits package including medical, dental, vision, 401(k), flexible spending, short-term and long-term disability insurance, life insurance, long-term care, education assistance and paid time off.
IFG Companies is an equal opportunity employer committed to a diverse workforce. M/F/D/V",146
7,Quantitative Researcher,"Experience: Entry-level (PhD Program) or Experienced (Postdoc, Faculty, Scientific Lab, Finance Industry)

Education: PhD in Math, Science, or Engineering disciplines
The PDT team - a quantitative investment manager - is hiring new or recent PhD graduates and experienced researchers (postdoctoral fellows, faculty, scientific lab, finance industry) to create and improve proprietary trading models and strategies while working closely with a deep bench of senior researchers.

We have a highly successful record of hiring, challenging, and retaining talented researchers from diverse academic backgrounds. Individuals interested in conducting innovative research with real-world impact seem to enjoy and excel at the types of problems we like to solve.

PDT Researchers work in small, nimble teams where merit and contribution, not seniority, drive the discussion. We strive to foster an intellectually challenging environment that encourages collaboration and innovative ideas.

In our research-driven approach to the financial markets, our Chief Scientist oversees the group-wide research agenda, ensuring team members work on the most critical and interesting problems, with a focus on research rigor and standards.

Why join us? PDT Partners has a stellar twenty-five-year track record and a reputation for excellence. Our goal is to be the best quantitative investment manager in the worldâ€”measured by the quality of our products, not their size. PDT's very high employee-retention rate speaks for itself. Our people are intellectually extraordinary and our community is close-knit, down-to-earth, and diverse.

Responsibilities:
Work closely with senior researchers on a variety of trading strategies and research projects, with the opportunity to conduct independent research and originate research topics over time
Contribute to the long-term success of our research-driven algorithmic trading business

Requirements:


PhD in math, statistics, physics, computer science, electrical engineering, operations research or other highly-quantitative and analytical discipline
Solid mathematical and analytical ability; exceptional problem-solving and modeling ability
Strong research intuition
Strong programming skills (Python, R, Matlab, C++)
Excellent communication and collaborative white board skills
Meticulous and detail-oriented, and innately driven to understand issues deeply
Experience with/interested in working with large data sets
Self-motivated and highly-productive, with a strong sense of ownership and urgency
Able to work collaboratively and productively with others
Enjoy solving complex, difficult, real-world problems
Entrepreneurial and creative
Finance knowledge is not required or expected",146
8,Quantitative Research Associate,"Seeking a quant to work with senior researchers in a highly collaborative environment on all aspects of our existing trading system, including the design of novel predictive signals and the enhancement of our algorithms for prediction, trade execution, and portfolio construction. You will have an opportunity to learn about all facets of running a successful quantitative trading business and to meaningfully contribute in every area.
Masters or PhD degree in science, engineering, economics, or finance is required. Candidates who will not have earned such a degree before June 1, 2020, will not be considered.
Required qualities are curiosity, fascination with financial markets, drive to succeed, love for all things creative but applied statistics above all, painstaking attention to detail, independence, outstanding communication and social skills, high ethical standards, and the ability to thrive in a high-pressure trading environment.
Successful candidates will have common sense, creativity, and solid knowledge of applied statistics; and will be able to work with real data, clearly convey technical ideas in writing and translate these ideas into clean, robust, efficient code.
In addition to full-time quants, we are seeking graduate student interns, both full-time for Summer 2020 and for part-time ""winternships"" during Spring 2020. When applying please indicate whether you are interested in the full-time position, the summer internship, or the semester internship.",146
9,AI Scientist,"Paige is a software company helping pathologists and clinicians make faster, more informed diagnostic and treatment decisions by mining decades of data from the world's experts in cancer care. We are leading a digital transformation in pathology by leveraging advanced Artificial Intelligence (AI) technology to create value for the oncology clinical team.

Paige is the first company to develop clinical grade AI tools for the pathologist, which resulted in our receiving FDA breakthrough designation for our first product.

We're looking for AI Scientists to join us. In this role you'll be part of a team of world-leading experts in machine learning, computer vision and pathology.

In this role you'll conduct publishable deep learning research using some of the largest digital pathology datasets in the world. You'll be working to save lives by improving the accuracy of cancer detection, classification, and treatment outcome.

Recent graduates and PhD candidates who will defend soon are welcome to apply!

Key Responsibilities:
Work with our AI Scientists and Engineers to develop and assess deep neural network models
Author top-tier journal and conference papers on your research at Paige
Attend conferences to present your work.
Requirements:
Highly motivated
PhD degree in computer science or related field
Publication record in venues such as CVPR, ICCV, NeurIPS, TPAMI, ICLR IJCV, MICCAI, etc.
Expertise in deep learning, especially for computer vision
Strong Python coding skills
Computer vision expertise
Knowledge of deep learning toolboxes
You are authorized to work in the United States",146
10,Quantitative Researcher,"About the Position


At Jane Street, we consider trading and programming to be two ends of a continuum. As both a trading firm and a tech firm, we have room for people who love to trade, people who love to program, and people everywhere in between. Nearly all of our traders write code, and many of our developers trade. The role you carve out for yourself will be largely dependent on your strengths and the types of problems you enjoy thinking about.

Researchers at Jane Street are responsible for building models, strategies, and systems that price and trade a variety of financial instruments. As a mix of the trading and software developer roles, this work involves many things: analyzing large datasets, building and testing models, creating new trading strategies, and writing the code that implements them.

About You
Be able to apply logical and mathematical thinking to all kinds of problems. Asking great questions is more important than knowing all the answers.
Write great code. We mostly write in OCaml, so you should want to learn functional programming if you don't already have experience with it.
Have good taste in research.The problems we work on rarely have clean, definitive answers. You should be comfortable pushing in new and unknown directions while maintaining clarity of purpose.
Think and communicate precisely and openly. We believe great solutions come from the interaction between diverse groups of people across the firm.",146
